session_id,event_round,event_name,driver_code,lap_number,bad_flag_flip_count,replay_safety_flip_count,lap_comparison_safety_flip_count,recommendation_flip_count,primary_category_flip_count,baseline_bad_lap_any_category,baseline_safe_for_replay,baseline_safe_for_lap_comparison,baseline_product_recommendation,baseline_primary_category,any_sensitivity_flip_count
2025-azerbaijan-grand-prix-r,17,Azerbaijan Grand Prix,RUS,5,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-azerbaijan-grand-prix-r,17,Azerbaijan Grand Prix,STR,5,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-azerbaijan-grand-prix-r,17,Azerbaijan Grand Prix,STR,51,1,0,1,1,1,False,True,True,keep,clean,4
2025-singapore-grand-prix-r,18,Singapore Grand Prix,HAM,62,1,0,1,1,1,False,True,True,keep,clean,4
2025-singapore-grand-prix-r,18,Singapore Grand Prix,STR,47,1,0,1,1,1,False,True,True,keep,clean,4
2025-singapore-grand-prix-r,18,Singapore Grand Prix,TSU,52,1,0,1,1,1,False,True,True,keep,clean,4
2025-qatar-grand-prix-r,23,Qatar Grand Prix,ALO,41,1,0,1,1,1,False,True,True,keep,clean,4
2025-abu-dhabi-grand-prix-r,24,Abu Dhabi Grand Prix,HAD,57,1,0,1,1,1,False,True,True,keep,clean,4
2025-chinese-grand-prix-r,2,Chinese Grand Prix,LAW,1,0,1,0,1,1,True,False,False,exclude,position_trace_discontinuity,3
2025-japanese-grand-prix-r,3,Japanese Grand Prix,ANT,1,0,1,0,1,1,True,True,False,keep_with_context_label,atypical_speed_profile,3
2025-japanese-grand-prix-r,3,Japanese Grand Prix,LEC,1,0,1,0,1,1,True,True,False,keep_with_context_label,atypical_speed_profile,3
2025-japanese-grand-prix-r,3,Japanese Grand Prix,NOR,1,0,1,0,1,1,True,True,False,keep_with_context_label,atypical_speed_profile,3
