session_id,year,event_name,driver_code,driver_number,stream_name,sample_count,min_delta_ms,median_delta_ms,p90_delta_ms,p99_delta_ms,max_delta_ms,estimated_frequency_hz,duplicate_count,out_of_order_count,warning_flags
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,OCO,31,raw_location_telemetry,19120,20.0,240.0,380.0,519.0,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,PIA,81,raw_car_telemetry,18409,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,PIA,81,raw_location_telemetry,18819,20.0,240.0,380.0,501.0,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,RUS,63,raw_car_telemetry,18465,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,RUS,63,raw_location_telemetry,18874,20.0,240.0,380.0,506.03999999997905,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,SAI,55,raw_car_telemetry,18670,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,SAI,55,raw_location_telemetry,19087,20.0,240.0,380.0,519.1500000000015,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,STR,18,raw_car_telemetry,18449,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,STR,18,raw_location_telemetry,18856,20.0,240.0,380.0,509.2799999999843,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,TSU,22,raw_car_telemetry,18610,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,TSU,22,raw_location_telemetry,19028,20.0,240.0,380.0,519.0,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,VER,1,raw_car_telemetry,18403,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,VER,1,raw_location_telemetry,18811,20.0,240.0,380.0,501.0,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,ALB,23,raw_car_telemetry,21493,159.0,240.0,400.0,519.0900000000001,1680.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,ALB,23,raw_location_telemetry,22091,20.0,240.0,380.0,520.0,1920.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,ALO,14,raw_car_telemetry,21533,159.0,240.0,400.0,519.6899999999987,1680.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,ALO,14,raw_location_telemetry,22131,20.0,240.0,380.0,520.0,1920.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,ANT,12,raw_car_telemetry,21491,159.0,240.0,400.0,519.1100000000006,1680.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,ANT,12,raw_location_telemetry,22088,20.0,240.0,380.0,520.0,1920.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,BEA,87,raw_car_telemetry,21489,159.0,240.0,400.0,519.130000000001,1680.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,BEA,87,raw_location_telemetry,22086,20.0,240.0,380.0,520.0,1920.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,BOR,5,raw_car_telemetry,21558,159.0,240.0,400.0,519.4399999999987,1680.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,BOR,5,raw_location_telemetry,22155,20.0,240.0,380.0,520.0,1920.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,DOO,7,raw_car_telemetry,21504,159.0,240.0,400.0,519.9799999999996,1680.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,DOO,7,raw_location_telemetry,22103,20.0,240.0,380.0,520.0,1920.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
